MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  12  21  28.8  83.9  52.45
08  06  2019  14  12  22  28.8  83.9  52.46
08  06  2019  14  12  23  28.8  83.9  52.53
08  06  2019  14  12  24  28.8  83.9  52.94
08  06  2019  14  12  25  28.8  83.9  52.97
08  06  2019  14  12  26  28.8  83.9  52.82
08  06  2019  14  12  27  28.8  83.9  52.1
08  06  2019  14  12  28  28.8  83.9  51.94
08  06  2019  14  12  29  28.9  83.9  52.39
08  06  2019  14  12  30  28.8  83.9  52.42
08  06  2019  14  12  31  28.8  83.9  52.28
08  06  2019  14  12  32  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  52.06
08  06  2019  14  12  33  28.9  83.9  51.77
08  06  2019  14  12  34  28.9  83.9  51.84
08  06  2019  14  12  35  28.9  83.9  51.8
08  06  2019  14  12  36  28.8  83.9  51.65
08  06  2019  14  12  37  28.8  83.9  51.41
08  06  2019  14  12  38  28.8  83.9  51.48
08  06  2019  14  12  39  28.9  83.9  51.88
08  06  2019  14  12  40  28.9  83.9  52.31
08  06  2019  14  12  41  28.8  83.9  52.18
08  06  2019  14  12  42  28.8  83.9  52.12
08  06  2019  14  12  44  28.8  83.9  52.04
08  06  2019  14  12  45  28.8  83.9  51.9
08  06  2019  14  12  46  28.8  83.9  51.53
08  06  2019  14  12  47  28.8  83.9  51.5
08  06  2019  14  12  48  28.8  83.9  51.24
08  06  2019  14  12  49  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
08  06  2019  14  12  50  28.8  83.9  51.01
