MM  DD  YYYY  HH  MM  SS    C     F   RH(%)    Pressure
08  16  2019  09  34  24  27.2  80.9  48.43    996.8
08  16  2019  09  34  25  27.2  80.9  48.40    996.8
08  16  2019  09  34  26  27.2  80.9  48.28    996.8
08  16  2019  09  34  27  27.2  80.9  48.27    996.8
08  16  2019  09  34  28  27.2  80.9  48.18    996.8
08  16  2019  09  34  29  27.2  80.9  48.19    996.8
08  16  2019  09  34  30  27.2  80.9  48.16    996.8
08  16  2019  09  34  31  27.2  80.9  48.12    996.8
08  16  2019  09  34  32  27.2  80.9  48.02    996.8
08  16  2019  09  34  33  27.2  80.9  47.98    996.8
08  16  2019  09  34  34  27.2  80.9  47.96    996.8
08  16  2019  09  34  35  27.2  80.9  47.93    996.8
08  16  2019  09  34  36  27.2  80.9  47.91    996.8
08  16  2019  09  34  37  27.2  80.9  47.91    996.8
08  16  2019  09  34  38  27.2  80.9  47.91    996.8
08  16  2019  09  34  39  27.2  80.9  47.91    996.8
08  16  2019  09  34  40  27.2  80.9  47.91    996.8
08  16  2019  09  34  41  27.1  80.9  47.91    996.8
08  16  2019  09  34  42  27.1  80.8  47.92    996.8
08  16  2019  09  34  43  27.1  80.9  47.96    996.8
