MM  DD  YYYY  HH  MM  SS    C     F   RH(%)   Pressure(mbar)
08  16  2019  13  45  38  28.8  83.9  53.32    995.2
08  16  2019  13  45  39  28.8  83.9  53.04    995.2
08  16  2019  13  45  40  28.8  83.9  52.47    995.1
08  16  2019  13  45  41  28.8  83.9  52.35    995.1
08  16  2019  13  45  42  28.8  83.9  52.17    995.1
08  16  2019  13  45  43  28.8  83.8  51.77    995.2
08  16  2019  13  45  44  28.8  83.8  51.62    995.1
08  16  2019  13  45  45  28.8  83.8  51.46    995.2
08  16  2019  13  45  46  28.8  83.8  51.55    995.2
08  16  2019  13  45  47  28.8  83.9  51.68    995.2
08  16  2019  13  45  48  28.8  83.9  51.64    995.2
08  16  2019  13  45  49  28.8  83.9  51.67    995.2
08  16  2019  13  45  50  28.8  83.9  51.78    995.2
08  16  2019  13  45  51  28.8  83.8  51.70    995.2
08  16  2019  13  45  52  28.8  83.8  51.54    995.2
08  16  2019  13  45  53  28.8  83.8  51.96    995.2
08  16  2019  13  45  54  28.8  83.8  51.90    995.2
08  16  2019  13  45  55  28.8  83.8  51.40    995.2
