MM  DD  YYYY  HH  MM  SS    C     F   RH(%)   Pressure(mbar)  Altitude(m)
08  16  2019  15  23  37  28.4  83.1  56.09    995.2           17.00
08  16  2019  15  23  38  28.4  83.1  56.14    995.2           16.93
08  16  2019  15  23  39  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  40  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  41  28.4  83.1  56.29    995.2           16.96
08  16  2019  15  23  41  28.4  83.1  56.44    995.2           16.93
08  16  2019  15  23  42  28.4  83.1  56.49    995.2           17.03
08  16  2019  15  23  43  28.4  83.1  56.62    995.2           17.27
08  16  2019  15  23  44  28.4  83.1  56.59    995.2           17.33
08  16  2019  15  23  45  28.4  83.1  56.58    995.2           17.13
08  16  2019  15  23  46  28.4  83.1  56.58    995.2           17.13
08  16  2019  15  23  46  28.4  83.1  56.58    995.2           17.13
08  16  2019  15  23  46  28.4  83.1  56.58    995.2           17.13
08  16  2019  15  23  46  28.4  83.1  56.52    995.2           16.90
08  16  2019  15  23  47  28.4  83.1  56.49    995.2           17.01
